Freq.	V(vi)/I(C)
Step Information: Run=1  (Run: 1/100)
4.26579518801591e+002	-2.27102429411563e+005,1.12170964161256e+007
4.36515832240164e+002	-2.27102429411565e+005,1.09617641288882e+007
4.46683592150961e+002	-2.27102429411566e+005,1.07122439140882e+007
4.57088189614873e+002	-2.27102429411568e+005,1.04684034728047e+007
4.67735141287196e+002	-2.27102429411570e+005,1.02301135176081e+007
4.78630092322636e+002	-2.27102429411571e+005,9.99724770401018e+006
4.89778819368444e+002	-2.27102429411573e+005,9.76968256347412e+006
5.01187233627270e+002	-2.27102429411575e+005,9.54729743795026e+006
5.12861383991362e+002	-2.27102429411577e+005,9.32997441590142e+006
5.24807460249770e+002	-2.27102429411580e+005,9.11759826978469e+006
5.37031796370250e+002	-2.27102429411582e+005,8.91005639495629e+006
5.49540873857622e+002	-2.27102429411584e+005,8.70723874996703e+006
5.62341325190346e+002	-2.27102429411587e+005,8.50903779821694e+006
5.75439937337154e+002	-2.27102429411589e+005,8.31534845093789e+006
5.88843655355586e+002	-2.27102429411592e+005,8.12606801147418e+006
6.02559586074355e+002	-2.27102429411595e+005,7.94109612083138e+006
6.16595001861479e+002	-2.27102429411598e+005,7.76033470446467e+006
6.30957344480190e+002	-2.27102429411601e+005,7.58368792027845e+006
6.45654229034652e+002	-2.27102429411604e+005,7.41106210780953e+006
6.60693448007592e+002	-2.27102429411608e+005,7.24236573856718e+006
6.76082975391978e+002	-2.27102429411611e+005,7.07750936750346e+006
6.91830970918933e+002	-2.27102429411615e+005,6.91640558558830e+006
7.07945784384134e+002	-2.27102429411619e+005,6.75896897346408e+006
7.24435960074986e+002	-2.27102429411623e+005,6.60511605615511e+006
7.41310241300914e+002	-2.27102429411627e+005,6.45476525880816e+006
7.58577575029180e+002	-2.27102429411632e+005,6.30783686344036e+006
7.76247116628688e+002	-2.27102429411637e+005,6.16425296667164e+006
7.94328234724277e+002	-2.27102429411642e+005,6.02393743841938e+006
8.12830516164095e+002	-2.27102429411647e+005,5.88681588153321e+006
8.31763771102666e+002	-2.27102429411652e+005,5.75281559234865e+006
8.51138038202372e+002	-2.27102429411658e+005,5.62186552213867e+006
8.70963589956076e+002	-2.27102429411664e+005,5.49389623944272e+006
8.91250938133741e+002	-2.27102429411670e+005,5.36883989325323e+006
9.12010839355905e+002	-2.27102429411677e+005,5.24663017704014e+006
9.33254300796986e+002	-2.27102429411684e+005,5.12720229359428e+006
9.54992586021431e+002	-2.27102429411691e+005,5.01049292067103e+006
9.77237220955805e+002	-2.27102429411698e+005,4.89644017741603e+006
9.99999999999994e+002	-2.27102429411706e+005,4.78498359155514e+006
1.02329299228075e+003	-2.27102429411714e+005,4.67606406733125e+006
1.04712854805089e+003	-2.27102429411723e+005,4.56962385417088e+006
1.07151930523760e+003	-2.27102429411732e+005,4.46560651606411e+006
1.09647819614318e+003	-2.27102429411742e+005,4.36395690164145e+006
1.12201845430196e+003	-2.27102429411751e+005,4.26462111493183e+006
1.14815362149688e+003	-2.27102429411762e+005,4.16754648678629e+006
1.17489755493952e+003	-2.27102429411773e+005,4.07268154695205e+006
1.20226443461741e+003	-2.27102429411784e+005,3.97997599678231e+006
1.23026877081237e+003	-2.27102429411796e+005,3.88938068256727e+006
1.25892541179416e+003	-2.27102429411809e+005,3.80084756947217e+006
1.28824955169313e+003	-2.27102429411822e+005,3.71432971606857e+006
1.31825673855640e+003	-2.27102429411836e+005,3.62978124944539e+006
1.34896288259165e+003	-2.27102429411850e+005,3.54715734088651e+006
1.38038426460288e+003	-2.27102429411865e+005,3.46641418210194e+006
1.41253754462275e+003	-2.27102429411881e+005,3.38750896200014e+006
1.44543977074592e+003	-2.27102429411898e+005,3.31039984398897e+006
1.47910838816820e+003	-2.27102429411915e+005,3.23504594379341e+006
1.51356124843620e+003	-2.27102429411933e+005,3.16140730777814e+006
1.54881661891247e+003	-2.27102429411952e+005,3.08944489176363e+006
1.58489319246110e+003	-2.27102429411972e+005,3.01912054032437e+006
1.62181009735892e+003	-2.27102429411993e+005,2.95039696655838e+006
1.65958690743755e+003	-2.27102429412015e+005,2.88323773231717e+006
1.69824365246173e+003	-2.27102429412038e+005,2.81760722888581e+006
1.73780082874936e+003	-2.27102429412063e+005,2.75347065810263e+006
1.77827941003891e+003	-2.27102429412088e+005,2.69079401390888e+006
1.81970085860997e+003	-2.27102429412115e+005,2.62954406431817e+006
1.86208713666286e+003	-2.27102429412142e+005,2.56968833379650e+006
1.90546071796323e+003	-2.27102429412171e+005,2.51119508604325e+006
